PassengerId,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare
1,0,3,22.0,1,0,236171.0,7.25
3,1,3,26.0,0,0,236171.0,7.925
4,1,1,35.0,1,0,113803.0,53.1
5,0,3,35.0,0,0,373450.0,8.05
6,0,3,28.0,0,0,330877.0,8.4583
7,0,1,54.0,0,0,17463.0,51.8625
10,1,2,14.0,1,0,237736.0,30.0708
13,0,3,20.0,0,0,236171.0,8.05
15,0,3,14.0,0,0,350406.0,7.8542
18,1,2,28.0,0,0,244373.0,13.0
19,0,3,31.0,1,0,345763.0,18.0
20,1,3,28.0,0,0,2649.0,7.225
21,0,2,35.0,0,0,239865.0,26.0
22,1,2,34.0,0,0,248698.0,13.0
23,1,3,15.0,0,0,330923.0,8.0292
24,1,1,28.0,0,0,113788.0,35.5
27,0,3,28.0,0,0,2631.0,7.225
29,1,3,28.0,0,0,330959.0,7.8792
30,0,3,28.0,0,0,349216.0,7.8958
31,0,1,40.0,0,0,236171.0,27.7208
33,1,3,28.0,0,0,335677.0,7.75
36,0,1,42.0,1,0,113789.0,52.0
37,1,3,28.0,0,0,2677.0,7.2292
38,0,3,21.0,0,0,236171.0,8.05
39,0,3,18.0,2,0,345764.0,18.0
40,1,3,14.0,1,0,2651.0,11.2417
41,0,3,40.0,1,0,7546.0,9.475
42,0,2,27.0,1,0,11668.0,21.0
43,0,3,28.0,0,0,349253.0,7.8958
45,1,3,19.0,0,0,330958.0,7.8792
46,0,3,28.0,0,0,236171.0,8.05
47,0,3,28.0,1,0,370371.0,15.5
48,1,3,28.0,0,0,14311.0,7.75
49,0,3,28.0,2,0,2662.0,21.6792
50,0,3,18.0,1,0,349237.0,17.8
52,0,3,21.0,0,0,236171.0,7.8
54,1,2,29.0,1,0,2926.0,26.0
56,1,1,28.0,0,0,19947.0,35.5
57,1,2,21.0,0,0,236171.0,10.5
58,0,3,28.5,0,0,2697.0,7.2292
61,0,3,22.0,0,0,2669.0,7.2292
65,0,1,28.0,0,0,236171.0,27.7208
67,1,2,29.0,0,0,236171.0,10.5
68,0,3,19.0,0,0,236171.0,8.1583
70,0,3,26.0,2,0,315151.0,8.6625
71,0,2,32.0,0,0,236171.0,10.5
74,0,3,26.0,1,0,2680.0,14.4542
75,1,3,32.0,0,0,1601.0,56.4958
76,0,3,25.0,0,0,348123.0,7.65
77,0,3,28.0,0,0,349208.0,7.8958
78,0,3,28.0,0,0,374746.0,8.05
80,1,3,30.0,0,0,364516.0,12.475
81,0,3,22.0,0,0,345767.0,9.0
82,1,3,29.0,0,0,345779.0,9.5
83,1,3,28.0,0,0,330932.0,7.7875
84,0,1,28.0,0,0,113059.0,47.1
85,1,2,17.0,0,0,236171.0,10.5
88,0,3,28.0,0,0,236171.0,8.05
90,0,3,24.0,0,0,343275.0,8.05
91,0,3,29.0,0,0,343276.0,8.05
92,0,3,20.0,0,0,347466.0,7.8542
93,0,1,46.0,1,0,236171.0,61.175
96,0,3,28.0,0,0,374910.0,8.05
100,0,2,34.0,1,0,244367.0,26.0
101,0,3,28.0,0,0,349245.0,7.8958
102,0,3,28.0,0,0,349215.0,7.8958
104,0,3,33.0,0,0,7540.0,8.6542
106,0,3,28.0,0,0,349207.0,7.8958
107,1,3,21.0,0,0,343120.0,7.65
108,1,3,28.0,0,0,312991.0,7.775
109,0,3,38.0,0,0,349249.0,7.8958
110,1,3,28.0,1,0,371110.0,24.15
111,0,1,47.0,0,0,110465.0,52.0
112,0,3,14.5,1,0,2665.0,14.4542
113,0,3,22.0,0,0,324669.0,8.05
114,0,3,20.0,1,0,4136.0,9.825
115,0,3,17.0,0,0,2627.0,14.4583
116,0,3,21.0,0,0,236171.0,7.925
118,0,2,29.0,1,0,11668.0,21.0
122,0,3,28.0,0,0,236171.0,8.05
123,0,2,32.5,1,0,237736.0,30.0708
124,1,2,32.5,0,0,27267.0,13.0
126,1,3,12.0,1,0,2651.0,11.2417
127,0,3,28.0,0,0,370372.0,7.75
128,1,3,24.0,0,0,236171.0,7.1417
130,0,3,45.0,0,0,347061.0,6.975
131,0,3,33.0,0,0,349241.0,7.8958
132,0,3,20.0,0,0,236171.0,7.05
133,0,3,47.0,1,0,236171.0,14.5
134,1,2,29.0,1,0,228414.0,26.0
135,0,2,25.0,0,0,236171.0,13.0
136,0,2,23.0,0,0,236171.0,15.0458
138,0,1,37.0,1,0,113803.0,53.1
139,0,3,16.0,0,0,7534.0,9.2167
142,1,3,22.0,0,0,347081.0,7.75
143,1,3,24.0,1,0,236171.0,15.85
144,0,3,19.0,0,0,365222.0,6.75
145,0,2,18.0,0,0,231945.0,11.5
147,1,3,27.0,0,0,350043.0,7.7958
150,0,2,42.0,0,0,244310.0,13.0
151,0,2,51.0,0,0,236171.0,12.525
155,0,3,28.0,0,0,236171.0,7.3125
157,1,3,16.0,0,0,35851.0,7.7333
158,0,3,30.0,0,0,236171.0,8.05
159,0,3,28.0,0,0,315037.0,8.6625
162,1,2,40.0,0,0,236171.0,15.75
163,0,3,26.0,0,0,347068.0,7.775
164,0,3,17.0,0,0,315093.0,8.6625
169,0,1,28.0,0,0,236171.0,25.925
170,0,3,28.0,0,0,1601.0,56.4958
174,0,3,21.0,0,0,236171.0,7.925
178,0,1,50.0,0,0,236171.0,28.7125
179,0,2,30.0,0,0,250653.0,13.0
180,0,3,36.0,0,0,236171.0,0.0
182,0,2,28.0,0,0,236171.0,15.05
186,0,1,28.0,0,0,113767.0,50.0
187,1,3,28.0,1,0,370365.0,15.5
188,1,1,45.0,0,0,111428.0,26.55
190,0,3,36.0,0,0,349247.0,7.8958
191,1,2,32.0,0,0,234604.0,13.0
192,0,2,19.0,0,0,28424.0,13.0
193,1,3,19.0,1,0,350046.0,7.8542
195,1,1,44.0,0,0,236171.0,27.7208
197,0,3,28.0,0,0,368703.0,7.75
199,1,3,28.0,0,0,370370.0,7.75
200,0,2,24.0,0,0,248747.0,13.0
201,0,3,28.0,0,0,345770.0,9.5
204,0,3,45.5,0,0,2628.0,7.225
205,1,3,18.0,0,0,236171.0,8.05
208,1,3,26.0,0,0,2699.0,18.7875
209,1,3,16.0,0,0,367231.0,7.75
210,1,1,40.0,0,0,112277.0,31.0
211,0,3,24.0,0,0,236171.0,7.05
212,1,2,35.0,0,0,236171.0,21.0
213,0,3,22.0,0,0,236171.0,7.25
214,0,2,30.0,0,0,250646.0,13.0
215,0,3,28.0,1,0,367229.0,7.75
217,1,3,27.0,0,0,236171.0,7.925
218,0,2,42.0,1,0,243847.0,27.0
220,0,2,30.0,0,0,236171.0,10.5
221,1,3,16.0,0,0,236171.0,8.05
222,0,2,27.0,0,0,220367.0,13.0
223,0,3,51.0,0,0,21440.0,8.05
224,0,3,28.0,0,0,349234.0,7.8958
226,0,3,22.0,0,0,236171.0,9.35
227,1,2,19.0,0,0,236171.0,10.5
228,0,3,20.5,0,0,236171.0,7.25
229,0,2,18.0,0,0,236171.0,13.0
232,0,3,29.0,0,0,347067.0,7.775
235,0,2,24.0,0,0,236171.0,10.5
236,0,3,28.0,0,0,236171.0,7.55
237,0,2,44.0,1,0,26707.0,26.0
239,0,2,19.0,0,0,28665.0,10.5
240,0,2,33.0,0,0,236171.0,12.275
241,0,3,28.0,1,0,2665.0,14.4542
242,1,3,28.0,1,0,367230.0,15.5
243,0,2,29.0,0,0,236171.0,10.5
244,0,3,22.0,0,0,236171.0,7.125
245,0,3,30.0,0,0,2694.0,7.225
247,0,3,25.0,0,0,347071.0,7.775
250,0,2,54.0,1,0,244252.0,26.0
251,0,3,28.0,0,0,362316.0,7.25
